Road ID,Shapefile ID,Road Name,PCI,Road Quality,Running PCI,Surface Material,Material Thickness,Length,Width,Lifespan,Remaining Surface Life,Asset Value,Road Surface,Area,Road Owner,Road Category,Traffic Volume,Year Resurfaced,Road From,Road To
01KP4C8DWXZ6V4QN4TTJ66RKJ9,{EFF03B0B-262D-4749-8E47-FBE9C267E39D},GIDDEN ST,68,C,'-18.5,asphalt,2,241.32096143445574,26,20,5 Years and 3 Months,6679.687602676708,paved,,City,Local,,,,HARPER AV
01KP4C8E5HGFY85EKS85WJKA91,{FA2AA512-D4D7-4494-9466-1FA261CF379F},TIGER LILY DR,68,C,31.75,asphalt,2,385.7184423052685,50,20,5 Years and 3 Months,20531.853909059017,paved,,City,Local,,,STILLWATER DR,KENAI PASS
01KP4C8E5QY51AME1K8H2Q3MYV,{55384F94-8969-495F-AE87-91F5E3014D04},HARVEST DR,68,C,'-12.17,asphalt,2,351.44048202829066,50,28,7 Years and 4 Months,18707.232642569405,paved,,City,Local,,,HORSESHOE PATH,THORNBERRY DR
01KP4C82X56AKAY3MMRSP6NMJ0,{5B7649B4-D155-4E83-B0D2-8207B7FFF03C},E DRAKE AV,68,C,10.63,asphalt,2,466.05752915466917,60,6,1 Years and 7 Months,29769.979505146344,paved,,City,Collector,,,N GAY ST,HUDSON TER
01KP4C7ZA3G73FVFC2PDZM845D,{C77E68D4-1E93-4F2A-9829-00169AF4EB81},N COLLEGE ST,68,C,4.63,asphalt,2,1115.591318083449,100,30,7 Years and 10 Months,118766.20587913801,paved,,City,Arterial,,,PINE HILLS AV,S CEDARBROOK DR
01KP4C82PQX1949KAS4VXD39E4,{5613CEC8-4827-4EEF-8B7F-1C34C8D43D8F},CONE ST,68,C,2.19,asphalt,2,347.6059598122888,50,20,5 Years and 3 Months,18503.120416357306,paved,,City,Local,,,MCKINLEY AV,ALAN AV
01KP4C8A7QZ01A5YRZ64G5122Y,{B0408559-8092-4779-B5F6-F6D84C6A7401},CARY CREEK PKWY,68,C,2.75,asphalt,2,323.64713348665487,24,28,7 Years and 4 Months,8269.338378266646,paved,,City,Collector,,,N COLLEGE ST,LEGACY LN
01KP4C8DRQF48JDR1XQC1267WR,{8C991478-1A1B-41AC-8416-48662F479B27},E VETERANS BLVD,68,C,'-3,asphalt,2,421.4095694373934,60,6,1 Years and 7 Months,26918.037925872348,paved,,City,Collector,,,,SARA ST
01KP4C7ZHRRBCVRMNY070X2J5A,{F89B5D7D-D049-4171-932A-B8C73085EF01},HAMILTON RD,68,C,'-8.67,asphalt,2,1462.1116445174073,80,20,5 Years and 3 Months,124525.49587019999,paved,,City,Collector,,,,HAMILTON HILLS DR
01KP4C7VM7GYG98H03E4KXNBP9,{06DB1A34-E30B-4DC9-9314-FDF02BA55877},DUNFORD AV,68,C,'-6.5,asphalt,2,545.0241724256391,24,20,5 Years and 3 Months,13925.62714079528,paved,,City,Local,,,JORDAN ST,RICHLAND RD
